ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,TotalProductCost,SalesAmount
370,2022-01-05,2022-01-17,2022-01-12,28766,SO46741,"1518,7864","2443,35"
358,2022-01-05,2022-01-17,2022-01-12,20206,SO46742,"1105,81","2049,0982"
373,2022-01-05,2022-01-17,2022-01-12,21183,SO46743,"1320,6838","2181,5625"
370,2022-01-05,2022-01-17,2022-01-12,21199,SO46744,"1518,7864","2443,35"
369,2022-01-06,2022-01-18,2022-01-13,13056,SO46745,"1518,7864","2443,35"
368,2022-01-06,2022-01-18,2022-01-13,13057,SO46746,"1518,7864","2443,35"
360,2022-01-06,2022-01-18,2022-01-13,26127,SO46747,"1105,81","2049,0982"
360,2022-01-06,2022-01-18,2022-01-13,26252,SO46748,"1105,81","2049,0982"
354,2022-01-06,2022-01-18,2022-01-13,12350,SO46749,"1117,8559","2071,4196"
377,2022-01-07,2022-01-19,2022-01-14,16054,SO46750,"1320,6838","2181,5625"
377,2022-01-07,2022-01-19,2022-01-14,12934,SO46751,"1320,6838","2181,5625"
343,2022-01-07,2022-01-19,2022-01-14,19931,SO46752,"486,7066","782,99"
379,2022-01-07,2022-01-19,2022-01-14,21215,SO46753,"1320,6838","2181,5625"
321,2022-01-07,2022-01-19,2022-01-14,25958,SO46754,"486,7066","782,99"
343,2022-01-07,2022-01-19,2022-01-14,26023,SO46755,"486,7066","782,99"
383,2022-01-07,2022-01-19,2022-01-14,13993,SO46756,"605,6492","1000,4375"
354,2022-01-08,2022-01-20,2022-01-15,26174,SO46757,"1117,8559","2071,4196"
387,2022-01-08,2022-01-20,2022-01-15,18130,SO46758,"605,6492","1000,4375"
373,2022-01-08,2022-01-20,2022-01-15,16033,SO46759,"1320,6838","2181,5625"
387,2022-01-08,2022-01-20,2022-01-15,13986,SO46760,"605,6492","1000,4375"
325,2022-01-08,2022-01-20,2022-01-15,19924,SO46761,"486,7066","782,99"
368,2022-01-08,2022-01-20,2022-01-15,13063,SO46762,"1518,7864","2443,35"
375,2022-01-08,2022-01-20,2022-01-15,13202,SO46763,"1320,6838","2181,5625"
360,2022-01-08,2022-01-20,2022-01-15,26238,SO46764,"1105,81","2049,0982"
333,2022-01-08,2022-01-20,2022-01-15,15191,SO46765,"486,7066","782,99"
369,2022-01-08,2022-01-20,2022-01-15,21216,SO46766,"1518,7864","2443,35"
362,2022-01-08,2022-01-20,2022-01-15,12573,SO46767,"1105,81","2049,0982"
339,2022-01-08,2022-01-20,2022-01-15,26020,SO46768,"486,7066","782,99"
377,2022-01-09,2022-01-21,2022-01-16,15702,SO46769,"1320,6838","2181,5625"
370,2022-01-09,2022-01-21,2022-01-16,15357,SO46770,"1518,7864","2443,35"
377,2022-01-09,2022-01-21,2022-01-16,13068,SO46771,"1320,6838","2181,5625"
375,2022-01-09,2022-01-21,2022-01-16,13161,SO46772,"1320,6838","2181,5625"
371,2022-01-09,2022-01-21,2022-01-16,13173,SO46773,"1320,6838","2181,5625"
375,2022-01-09,2022-01-21,2022-01-16,13225,SO46774,"1320,6838","2181,5625"
352,2022-01-09,2022-01-21,2022-01-16,26249,SO46775,"1117,8559","2071,4196"
360,2022-01-09,2022-01-21,2022-01-16,12356,SO46776,"1105,81","2049,0982"
356,2022-01-10,2022-01-22,2022-01-17,11568,SO46777,"1117,8559","2071,4196"
352,2022-01-10,2022-01-22,2022-01-17,11610,SO46778,"1117,8559","2071,4196"
377,2022-01-10,2022-01-22,2022-01-17,15929,SO46779,"1320,6838","2181,5625"
379,2022-01-10,2022-01-22,2022-01-17,12942,SO46780,"1320,6838","2181,5625"
379,2022-01-10,2022-01-22,2022-01-17,12949,SO46781,"1320,6838","2181,5625"
371,2022-01-10,2022-01-22,2022-01-17,12975,SO46782,"1320,6838","2181,5625"
337,2022-01-10,2022-01-22,2022-01-17,19069,SO46783,"486,7066","782,99"
375,2022-01-10,2022-01-22,2022-01-17,13178,SO46784,"1320,6838","2181,5625"
373,2022-01-10,2022-01-22,2022-01-17,13190,SO46785,"1320,6838","2181,5625"
354,2022-01-10,2022-01-22,2022-01-17,26201,SO46786,"1117,8559","2071,4196"
333,2022-01-10,2022-01-22,2022-01-17,15195,SO46787,"486,7066","782,99"
358,2022-01-10,2022-01-22,2022-01-17,12342,SO46788,"1105,81","2049,0982"
358,2022-01-11,2022-01-23,2022-01-18,28506,SO46789,"1105,81","2049,0982"
379,2022-01-11,2022-01-23,2022-01-18,12930,SO46790,"1320,6838","2181,5625"
369,2022-01-11,2022-01-23,2022-01-18,13016,SO46791,"1518,7864","2443,35"
373,2022-01-11,2022-01-23,2022-01-18,13083,SO46792,"1320,6838","2181,5625"
375,2022-01-11,2022-01-23,2022-01-18,13214,SO46793,"1320,6838","2181,5625"
373,2022-01-11,2022-01-23,2022-01-18,24977,SO46794,"1320,6838","2181,5625"
362,2022-01-11,2022-01-23,2022-01-18,26234,SO46795,"1105,81","2049,0982"
360,2022-01-11,2022-01-23,2022-01-18,26247,SO46796,"1105,81","2049,0982"
371,2022-01-11,2022-01-23,2022-01-18,21197,SO46797,"1320,6838","2181,5625"
368,2022-01-11,2022-01-23,2022-01-18,21201,SO46798,"1518,7864","2443,35"
371,2022-01-12,2022-01-24,2022-01-19,13662,SO46799,"1320,6838","2181,5625"
370,2022-01-12,2022-01-24,2022-01-19,13019,SO46800,"1518,7864","2443,35"
368,2022-01-12,2022-01-24,2022-01-19,25094,SO46801,"1518,7864","2443,35"
337,2022-01-12,2022-01-24,2022-01-19,15188,SO46802,"486,7066","782,99"
379,2022-01-13,2022-01-25,2022-01-20,13595,SO46803,"1320,6838","2181,5625"
323,2022-01-13,2022-01-25,2022-01-20,19052,SO46804,"486,7066","782,99"
373,2022-01-13,2022-01-25,2022-01-20,13055,SO46805,"1320,6838","2181,5625"
370,2022-01-13,2022-01-25,2022-01-20,21195,SO46806,"1518,7864","2443,35"
354,2022-01-13,2022-01-25,2022-01-20,12339,SO46807,"1117,8559","2071,4196"
360,2022-01-13,2022-01-25,2022-01-20,12347,SO46808,"1105,81","2049,0982"
371,2022-01-14,2022-01-26,2022-01-21,13766,SO46809,"1320,6838","2181,5625"
370,2022-01-14,2022-01-26,2022-01-21,15622,SO46810,"1518,7864","2443,35"
369,2022-01-14,2022-01-26,2022-01-21,12941,SO46811,"1518,7864","2443,35"
371,2022-01-14,2022-01-26,2022-01-21,13069,SO46812,"1320,6838","2181,5625"
379,2022-01-14,2022-01-26,2022-01-21,13152,SO46813,"1320,6838","2181,5625"
371,2022-01-14,2022-01-26,2022-01-21,13165,SO46814,"1320,6838","2181,5625"
375,2022-01-14,2022-01-26,2022-01-21,25093,SO46815,"1320,6838","2181,5625"
370,2022-01-14,2022-01-26,2022-01-21,13230,SO46816,"1518,7864","2443,35"
356,2022-01-14,2022-01-26,2022-01-21,26121,SO46817,"1117,8559","2071,4196"
369,2022-01-14,2022-01-26,2022-01-21,21211,SO46818,"1518,7864","2443,35"
368,2022-01-14,2022-01-26,2022-01-21,21001,SO46819,"1518,7864","2443,35"
352,2022-01-15,2022-01-27,2022-01-22,28510,SO46820,"1117,8559","2071,4196"
377,2022-01-15,2022-01-27,2022-01-22,24824,SO46821,"1320,6838","2181,5625"
325,2022-01-15,2022-01-27,2022-01-22,15155,SO46822,"486,7066","782,99"
323,2022-01-15,2022-01-27,2022-01-22,15193,SO46823,"486,7066","782,99"
385,2022-01-15,2022-01-27,2022-01-22,24608,SO46824,"605,6492","1000,4375"
354,2022-01-15,2022-01-27,2022-01-22,12574,SO46825,"1117,8559","2071,4196"
360,2022-01-15,2022-01-27,2022-01-22,12575,SO46826,"1105,81","2049,0982"
373,2022-01-16,2022-01-28,2022-01-23,13799,SO46827,"1320,6838","2181,5625"
385,2022-01-16,2022-01-28,2022-01-23,13990,SO46828,"605,6492","1000,4375"
369,2022-01-16,2022-01-28,2022-01-23,24786,SO46829,"1518,7864","2443,35"
337,2022-01-16,2022-01-28,2022-01-23,19910,SO46830,"486,7066","782,99"
369,2022-01-16,2022-01-28,2022-01-23,13066,SO46831,"1518,7864","2443,35"
352,2022-01-16,2022-01-28,2022-01-23,20188,SO46832,"1117,8559","2071,4196"
354,2022-01-16,2022-01-28,2022-01-23,12360,SO46833,"1117,8559","2071,4196"
379,2022-01-16,2022-01-28,2022-01-23,12923,SO46834,"1320,6838","2181,5625"
371,2022-01-17,2022-01-29,2022-01-24,13768,SO46835,"1320,6838","2181,5625"
377,2022-01-17,2022-01-29,2022-01-24,13769,SO46836,"1320,6838","2181,5625"
381,2022-01-17,2022-01-29,2022-01-24,14003,SO46837,"605,6492","1000,4375"
375,2022-01-17,2022-01-29,2022-01-24,12922,SO46838,"1320,6838","2181,5625"
375,2022-01-17,2022-01-29,2022-01-24,24817,SO46839,"1320,6838","2181,5625"
369,2022-01-17,2022-01-29,2022-01-24,13058,SO46840,"1518,7864","2443,35"
371,2022-01-17,2022-01-29,2022-01-24,13174,SO46841,"1320,6838","2181,5625"
321,2022-01-17,2022-01-29,2022-01-24,15166,SO46842,"486,7066","782,99"
375,2022-01-17,2022-01-29,2022-01-24,21168,SO46843,"1320,6838","2181,5625"
358,2022-01-17,2022-01-29,2022-01-24,12343,SO46844,"1105,81","2049,0982"
358,2022-01-18,2022-01-30,2022-01-25,11603,SO46845,"1105,81","2049,0982"
373,2022-01-18,2022-01-30,2022-01-25,13575,SO46846,"1320,6838","2181,5625"
371,2022-01-18,2022-01-30,2022-01-25,13793,SO46847,"1320,6838","2181,5625"
371,2022-01-18,2022-01-30,2022-01-25,16201,SO46848,"1320,6838","2181,5625"
370,2022-01-18,2022-01-30,2022-01-25,24960,SO46849,"1518,7864","2443,35"
370,2022-01-18,2022-01-30,2022-01-25,13221,SO46850,"1518,7864","2443,35"
360,2022-01-18,2022-01-30,2022-01-25,20209,SO46851,"1105,81","2049,0982"
333,2022-01-18,2022-01-30,2022-01-25,15194,SO46852,"486,7066","782,99"
368,2022-01-18,2022-01-30,2022-01-25,21192,SO46853,"1518,7864","2443,35"
375,2022-01-18,2022-01-30,2022-01-25,20997,SO46854,"1320,6838","2181,5625"
379,2022-01-19,2022-01-31,2022-01-26,15117,SO46855,"1320,6838","2181,5625"
370,2022-01-19,2022-01-31,2022-01-26,12935,SO46856,"1518,7864","2443,35"
371,2022-01-19,2022-01-31,2022-01-26,13064,SO46857,"1320,6838","2181,5625"
370,2022-01-19,2022-01-31,2022-01-26,13067,SO46858,"1518,7864","2443,35"
370,2022-01-19,2022-01-31,2022-01-26,13205,SO46859,"1518,7864","2443,35"
371,2022-01-19,2022-01-31,2022-01-26,21180,SO46860,"1320,6838","2181,5625"
377,2022-01-19,2022-01-31,2022-01-26,21214,SO46861,"1320,6838","2181,5625"
362,2022-01-20,2022-02-01,2022-01-27,11550,SO46862,"1105,81","2049,0982"
362,2022-01-20,2022-02-01,2022-01-27,11575,SO46863,"1105,81","2049,0982"
373,2022-01-20,2022-02-01,2022-01-27,16045,SO46864,"1320,6838","2181,5625"
375,2022-01-20,2022-02-01,2022-01-27,15456,SO46865,"1320,6838","2181,5625"
369,2022-01-20,2022-02-01,2022-01-27,12981,SO46866,"1518,7864","2443,35"
377,2022-01-20,2022-02-01,2022-01-27,13029,SO46867,"1320,6838","2181,5625"
369,2022-01-20,2022-02-01,2022-01-27,13189,SO46868,"1518,7864","2443,35"
379,2022-01-21,2022-02-02,2022-01-28,13577,SO46869,"1320,6838","2181,5625"
368,2022-01-21,2022-02-02,2022-01-28,13605,SO46870,"1518,7864","2443,35"
370,2022-01-21,2022-02-02,2022-01-28,13800,SO46871,"1518,7864","2443,35"
385,2022-01-21,2022-02-02,2022-01-28,19186,SO46872,"605,6492","1000,4375"
377,2022-01-21,2022-02-02,2022-01-28,21167,SO46873,"1320,6838","2181,5625"
381,2022-01-21,2022-02-02,2022-01-28,24606,SO46874,"605,6492","1000,4375"
362,2022-01-22,2022-02-03,2022-01-29,11470,SO46875,"1105,81","2049,0982"
375,2022-01-22,2022-02-03,2022-01-29,15084,SO46876,"1320,6838","2181,5625"
370,2022-01-22,2022-02-03,2022-01-29,12926,SO46877,"1518,7864","2443,35"
369,2022-01-22,2022-02-03,2022-01-29,25061,SO46878,"1518,7864","2443,35"
379,2022-01-22,2022-02-03,2022-01-29,13224,SO46879,"1320,6838","2181,5625"
335,2022-01-22,2022-02-03,2022-01-29,15167,SO46880,"486,7066","782,99"
354,2022-01-22,2022-02-03,2022-01-29,12572,SO46881,"1117,8559","2071,4196"
343,2022-01-22,2022-02-03,2022-01-29,25960,SO46882,"486,7066","782,99"
352,2022-01-22,2022-02-03,2022-01-29,26241,SO46883,"1117,8559","2071,4196"
368,2022-01-23,2022-02-04,2022-01-30,13565,SO46884,"1518,7864","2443,35"
373,2022-01-23,2022-02-04,2022-01-30,15933,SO46885,"1320,6838","2181,5625"
377,2022-01-23,2022-02-04,2022-01-30,28669,SO46886,"1320,6838","2181,5625"
362,2022-01-23,2022-02-04,2022-01-30,12340,SO46887,"1105,81","2049,0982"
325,2022-01-23,2022-02-04,2022-01-30,26021,SO46888,"486,7066","782,99"
383,2022-01-24,2022-02-05,2022-01-31,19173,SO46889,"605,6492","1000,4375"
368,2022-01-24,2022-02-05,2022-01-31,12921,SO46890,"1518,7864","2443,35"
325,2022-01-24,2022-02-05,2022-01-31,20592,SO46891,"486,7066","782,99"
370,2022-01-24,2022-02-05,2022-01-31,13086,SO46892,"1518,7864","2443,35"
369,2022-01-24,2022-02-05,2022-01-31,28659,SO46893,"1518,7864","2443,35"
356,2022-01-24,2022-02-05,2022-01-31,26120,SO46894,"1117,8559","2071,4196"
354,2022-01-24,2022-02-05,2022-01-31,26183,SO46895,"1117,8559","2071,4196"
333,2022-01-24,2022-02-05,2022-01-31,15189,SO46896,"486,7066","782,99"
368,2022-01-24,2022-02-05,2022-01-31,21179,SO46897,"1518,7864","2443,35"
369,2022-01-24,2022-02-05,2022-01-31,21205,SO46898,"1518,7864","2443,35"
381,2022-01-25,2022-02-06,2022-02-01,13999,SO46899,"605,6492","1000,4375"
375,2022-01-25,2022-02-06,2022-02-01,21194,SO46900,"1320,6838","2181,5625"
375,2022-01-25,2022-02-06,2022-02-01,21203,SO46901,"1320,6838","2181,5625"
375,2022-01-25,2022-02-06,2022-02-01,21000,SO46902,"1320,6838","2181,5625"
354,2022-01-25,2022-02-06,2022-02-01,12353,SO46903,"1117,8559","2071,4196"
387,2022-01-26,2022-02-07,2022-02-02,17080,SO46904,"605,6492","1000,4375"
375,2022-01-26,2022-02-07,2022-02-02,16053,SO46905,"1320,6838","2181,5625"
368,2022-01-26,2022-02-07,2022-02-02,12950,SO46906,"1518,7864","2443,35"
368,2022-01-26,2022-02-07,2022-02-02,13087,SO46907,"1518,7864","2443,35"
370,2022-01-26,2022-02-07,2022-02-02,21189,SO46908,"1518,7864","2443,35"
379,2022-01-26,2022-02-07,2022-02-02,20998,SO46909,"1320,6838","2181,5625"
331,2022-01-27,2022-02-08,2022-02-03,20710,SO46910,"486,7066","782,99"
377,2022-01-27,2022-02-08,2022-02-03,24832,SO46911,"1320,6838","2181,5625"
377,2022-01-27,2022-02-08,2022-02-03,13177,SO46912,"1320,6838","2181,5625"
375,2022-01-27,2022-02-08,2022-02-03,13212,SO46913,"1320,6838","2181,5625"
356,2022-01-27,2022-02-08,2022-02-03,26245,SO46914,"1117,8559","2071,4196"
362,2022-01-27,2022-02-08,2022-02-03,26276,SO46915,"1105,81","2049,0982"
329,2022-01-27,2022-02-08,2022-02-03,15196,SO46916,"486,7066","782,99"
371,2022-01-27,2022-02-08,2022-02-03,21202,SO46917,"1320,6838","2181,5625"
343,2022-01-27,2022-02-08,2022-02-03,26022,SO46918,"486,7066","782,99"
362,2022-01-27,2022-02-08,2022-02-03,11481,SO46919,"1105,81","2049,0982"
362,2022-01-28,2022-02-09,2022-02-04,11609,SO46920,"1105,81","2049,0982"
371,2022-01-28,2022-02-09,2022-02-04,15454,SO46921,"1320,6838","2181,5625"
368,2022-01-28,2022-02-09,2022-02-04,13088,SO46922,"1518,7864","2443,35"
369,2022-01-28,2022-02-09,2022-02-04,13176,SO46923,"1518,7864","2443,35"
375,2022-01-28,2022-02-09,2022-02-04,13203,SO46924,"1320,6838","2181,5625"
373,2022-01-28,2022-02-09,2022-02-04,21165,SO46925,"1320,6838","2181,5625"
377,2022-01-28,2022-02-09,2022-02-04,21169,SO46926,"1320,6838","2181,5625"
362,2022-01-28,2022-02-09,2022-02-04,12348,SO46927,"1105,81","2049,0982"
356,2022-01-28,2022-02-09,2022-02-04,12358,SO46928,"1117,8559","2071,4196"
370,2022-01-29,2022-02-10,2022-02-05,13246,SO47068,"1518,7864","2443,35"
383,2022-01-29,2022-02-10,2022-02-05,14017,SO47069,"605,6492","1000,4375"
387,2022-01-29,2022-02-10,2022-02-05,14025,SO47070,"605,6492","1000,4375"
369,2022-01-29,2022-02-10,2022-02-05,15667,SO47071,"1518,7864","2443,35"
341,2022-01-29,2022-02-10,2022-02-05,20062,SO47072,"486,7066","782,99"
369,2022-01-29,2022-02-10,2022-02-05,25287,SO47073,"1518,7864","2443,35"
362,2022-01-29,2022-02-10,2022-02-05,26293,SO47074,"1105,81","2049,0982"
360,2022-01-29,2022-02-10,2022-02-05,12685,SO47075,"1105,81","2049,0982"
362,2022-01-29,2022-02-10,2022-02-05,12588,SO47076,"1105,81","2049,0982"
369,2022-01-30,2022-02-11,2022-02-06,16329,SO47077,"1518,7864","2443,35"
375,2022-01-30,2022-02-11,2022-02-06,13248,SO47078,"1320,6838","2181,5625"
375,2022-01-30,2022-02-11,2022-02-06,13359,SO47079,"1320,6838","2181,5625"
360,2022-01-30,2022-02-11,2022-02-06,26302,SO47080,"1105,81","2049,0982"
341,2022-01-30,2022-02-11,2022-02-06,15203,SO47081,"486,7066","782,99"
323,2022-01-30,2022-02-11,2022-02-06,15254,SO47082,"486,7066","782,99"
329,2022-01-30,2022-02-11,2022-02-06,15288,SO47083,"486,7066","782,99"
370,2022-01-30,2022-02-11,2022-02-06,21561,SO47084,"1518,7864","2443,35"
379,2022-01-31,2022-02-12,2022-02-07,16311,SO47085,"1320,6838","2181,5625"
373,2022-01-31,2022-02-12,2022-02-07,13378,SO47086,"1320,6838","2181,5625"
377,2022-01-31,2022-02-12,2022-02-07,13383,SO47087,"1320,6838","2181,5625"
369,2022-01-31,2022-02-12,2022-02-07,13274,SO47088,"1518,7864","2443,35"
341,2022-01-31,2022-02-12,2022-02-07,15284,SO47089,"486,7066","782,99"
377,2022-01-31,2022-02-12,2022-02-07,21394,SO47090,"1320,6838","2181,5625"
354,2022-02-01,2022-02-13,2022-02-08,28532,SO47091,"1117,8559","2071,4196"
369,2022-02-01,2022-02-13,2022-02-08,28802,SO47092,"1518,7864","2443,35"
369,2022-02-01,2022-02-13,2022-02-08,13380,SO47093,"1518,7864","2443,35"
377,2022-02-01,2022-02-13,2022-02-08,15664,SO47094,"1320,6838","2181,5625"
370,2022-02-01,2022-02-13,2022-02-08,25095,SO47095,"1518,7864","2443,35"
354,2022-02-01,2022-02-13,2022-02-08,26283,SO47096,"1117,8559","2071,4196"
370,2022-02-01,2022-02-13,2022-02-08,21257,SO47097,"1518,7864","2443,35"
360,2022-02-01,2022-02-13,2022-02-08,12667,SO47098,"1105,81","2049,0982"
325,2022-02-01,2022-02-13,2022-02-08,26134,SO47099,"486,7066","782,99"
360,2022-02-02,2022-02-14,2022-02-09,11612,SO47100,"1105,81","2049,0982"
371,2022-02-02,2022-02-14,2022-02-09,16260,SO47101,"1320,6838","2181,5625"
370,2022-02-02,2022-02-14,2022-02-09,13424,SO47102,"1518,7864","2443,35"
368,2022-02-02,2022-02-14,2022-02-09,13369,SO47103,"1518,7864","2443,35"
379,2022-02-02,2022-02-14,2022-02-09,13279,SO47104,"1320,6838","2181,5625"
371,2022-02-02,2022-02-14,2022-02-09,13319,SO47105,"1320,6838","2181,5625"
369,2022-02-02,2022-02-14,2022-02-09,25361,SO47106,"1518,7864","2443,35"
352,2022-02-03,2022-02-15,2022-02-10,11616,SO47107,"1117,8559","2071,4196"
369,2022-02-03,2022-02-15,2022-02-10,13839,SO47108,"1518,7864","2443,35"
375,2022-02-03,2022-02-15,2022-02-10,28819,SO47109,"1320,6838","2181,5625"
370,2022-02-03,2022-02-15,2022-02-10,28850,SO47110,"1518,7864","2443,35"
369,2022-02-03,2022-02-15,2022-02-10,25100,SO47111,"1518,7864","2443,35"
356,2022-02-03,2022-02-15,2022-02-10,20318,SO47112,"1117,8559","2071,4196"
343,2022-02-03,2022-02-15,2022-02-10,15255,SO47113,"486,7066","782,99"
373,2022-02-03,2022-02-15,2022-02-10,21387,SO47114,"1320,6838","2181,5625"
370,2022-02-03,2022-02-15,2022-02-10,21393,SO47115,"1518,7864","2443,35"
387,2022-02-03,2022-02-15,2022-02-10,24611,SO47116,"605,6492","1000,4375"
354,2022-02-03,2022-02-15,2022-02-10,12586,SO47117,"1117,8559","2071,4196"
362,2022-02-03,2022-02-15,2022-02-10,28541,SO47118,"1105,81","2049,0982"
368,2022-02-04,2022-02-16,2022-02-11,16275,SO47119,"1518,7864","2443,35"
381,2022-02-04,2022-02-16,2022-02-11,14006,SO47120,"605,6492","1000,4375"
375,2022-02-04,2022-02-16,2022-02-11,28832,SO47121,"1320,6838","2181,5625"
371,2022-02-04,2022-02-16,2022-02-11,13362,SO47122,"1320,6838","2181,5625"
371,2022-02-04,2022-02-16,2022-02-11,25408,SO47123,"1320,6838","2181,5625"
371,2022-02-04,2022-02-16,2022-02-11,13384,SO47124,"1320,6838","2181,5625"
375,2022-02-04,2022-02-16,2022-02-11,13325,SO47125,"1320,6838","2181,5625"
371,2022-02-04,2022-02-16,2022-02-11,13326,SO47126,"1320,6838","2181,5625"
371,2022-02-04,2022-02-16,2022-02-11,21258,SO47127,"1320,6838","2181,5625"
368,2022-02-04,2022-02-16,2022-02-11,21556,SO47128,"1518,7864","2443,35"
352,2022-02-04,2022-02-16,2022-02-11,12677,SO47129,"1117,8559","2071,4196"
375,2022-02-05,2022-02-17,2022-02-12,16406,SO47130,"1320,6838","2181,5625"
371,2022-02-05,2022-02-17,2022-02-12,13243,SO47131,"1320,6838","2181,5625"
375,2022-02-05,2022-02-17,2022-02-12,13283,SO47132,"1320,6838","2181,5625"
379,2022-02-05,2022-02-17,2022-02-12,13357,SO47133,"1320,6838","2181,5625"
354,2022-02-05,2022-02-17,2022-02-12,26296,SO47134,"1117,8559","2071,4196"
343,2022-02-05,2022-02-17,2022-02-12,27027,SO47135,"486,7066","782,99"
379,2022-02-05,2022-02-17,2022-02-12,21389,SO47136,"1320,6838","2181,5625"
371,2022-02-05,2022-02-17,2022-02-12,13348,SO47137,"1320,6838","2181,5625"
379,2022-02-06,2022-02-18,2022-02-13,16308,SO47138,"1320,6838","2181,5625"
375,2022-02-06,2022-02-18,2022-02-13,13238,SO47139,"1320,6838","2181,5625"
356,2022-02-06,2022-02-18,2022-02-13,26290,SO47140,"1117,8559","2071,4196"
371,2022-02-06,2022-02-18,2022-02-13,21225,SO47141,"1320,6838","2181,5625"
369,2022-02-06,2022-02-18,2022-02-13,21230,SO47142,"1518,7864","2443,35"
362,2022-02-06,2022-02-18,2022-02-13,12684,SO47143,"1105,81","2049,0982"
343,2022-02-06,2022-02-18,2022-02-13,26033,SO47144,"486,7066","782,99"
339,2022-02-06,2022-02-18,2022-02-13,26131,SO47145,"486,7066","782,99"
389,2022-02-07,2022-02-19,2022-02-14,18133,SO47146,"605,6492","1000,4375"
375,2022-02-07,2022-02-19,2022-02-14,13324,SO47147,"1320,6838","2181,5625"
377,2022-02-07,2022-02-19,2022-02-14,21259,SO47148,"1320,6838","2181,5625"
360,2022-02-07,2022-02-19,2022-02-14,12669,SO47149,"1105,81","2049,0982"
370,2022-02-08,2022-02-20,2022-02-15,15625,SO47150,"1518,7864","2443,35"
370,2022-02-08,2022-02-20,2022-02-15,25363,SO47151,"1518,7864","2443,35"
